source_tex_file,source_question_number,question_id,confidence,stage,score,notes
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,47,GEN_CAT_HARDENED_QA_SIMULATION_Q07,low,skeleton,0.2588,combined=0.26; question=0.13; options=0.00; answer=0.00; skeleton=0.29; numbers=0.07; anchors=0.14; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,48,GEN_CAT_HARDENED_QA_SIMULATION_Q02,low,skeleton,0.2896,combined=0.29; question=0.10; options=0.00; answer=0.00; skeleton=0.40; numbers=0.30; anchors=0.15; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,49,GEN_CAT_HARDENED_QA_SIMULATION_Q02,low,skeleton,0.2327,combined=0.23; question=0.07; options=0.00; answer=0.00; skeleton=0.20; numbers=0.18; anchors=0.15; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,50,GEN_CAT_HARDENED_QUANT_15Q_Q07,low,skeleton,0.2457,combined=0.25; question=0.11; options=0.00; answer=0.00; skeleton=0.30; numbers=0.07; anchors=0.11; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,51,GEN_CAT_HARDENED_QA_SIMULATION_Q03,low,skeleton,0.2200,combined=0.22; question=0.13; options=0.00; answer=0.00; skeleton=0.09; numbers=0.07; anchors=0.06; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,52,GEN_CAT_HARDENED_QUANT_15Q_Q07,low,skeleton,0.2710,combined=0.27; question=0.11; options=0.00; answer=0.00; skeleton=0.38; numbers=0.18; anchors=0.11; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,53,GEN_CAT_HARDENED_QA_SIMULATION_Q12,low,skeleton,0.2479,combined=0.25; question=0.13; options=0.00; answer=0.02; skeleton=0.21; numbers=0.13; anchors=0.08; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,1,GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_1_Q08,low,skeleton,0.4078,combined=0.41; question=0.29; options=0.50; answer=0.00; skeleton=0.33; numbers=0.27; anchors=0.31; source=0.38; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,2,GEN_CAT_HARDENED_QUANT_15Q_SIMULATION_Q02,medium,source,0.4902,combined=0.49; question=0.28; options=0.00; answer=0.00; skeleton=0.40; numbers=0.33; anchors=0.30; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,3,GEN_CAT_QUANT_TOUGH_END_VERIFIED_PRACTICE_BATCH_Q03,medium,source,0.3668,combined=0.37; question=0.18; options=0.00; answer=0.02; skeleton=0.07; numbers=0.17; anchors=0.16; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,4,GEN_CAT_HARDENED_QUANT_15Q_SIMULATION_Q04,high,source,0.4409,combined=0.44; question=0.36; options=0.00; answer=0.00; skeleton=0.25; numbers=0.20; anchors=0.23; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,5,GEN_CAT_HARDENED_QUANT_15Q_SIMULATION_Q02,low,skeleton,0.3620,combined=0.36; question=0.40; options=0.00; answer=0.00; skeleton=0.05; numbers=0.08; anchors=0.44; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,6,GEN_CAT_HARDENED_QUANT_15Q_Q06,high,source,0.6812,combined=0.68; question=0.50; options=0.00; answer=0.00; skeleton=1.00; numbers=0.63; anchors=0.31; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,7,GEN_CAT_HARDENED_QA_SIMULATION_Q07,high,source,0.5343,combined=0.53; question=0.41; options=0.00; answer=0.00; skeleton=0.50; numbers=0.33; anchors=0.41; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,8,GEN_CAT_QUANT_HARDENED_Q08,high,source,0.5180,combined=0.52; question=0.46; options=0.00; answer=0.00; skeleton=0.33; numbers=0.22; anchors=0.43; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,9,GEN_CAT_HARDENED_QUANT_15Q_Q09,medium,source,0.4325,combined=0.43; question=0.31; options=0.00; answer=0.00; skeleton=0.43; numbers=0.10; anchors=0.17; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,10,GEN_CAT_HARDENED_QUANT_15Q_SIMULATION_Q10,high,source,0.6315,combined=0.63; question=0.62; options=0.00; answer=0.00; skeleton=0.44; numbers=0.31; anchors=0.62; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,11,GEN_CAT_QUANT_HARDENED_SIMULATION_15Q_Q11,high,source,0.5651,combined=0.57; question=0.53; options=0.00; answer=0.00; skeleton=0.25; numbers=0.38; anchors=0.53; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,12,GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_Q12,medium,source,0.4771,combined=0.48; question=0.32; options=0.00; answer=0.00; skeleton=0.25; numbers=0.25; anchors=0.32; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,13,GEN_CAT_QUANT_HARDENED_SIMULATION_15Q_Q13,high,source,0.6060,combined=0.61; question=0.69; options=0.00; answer=0.00; skeleton=0.20; numbers=0.17; anchors=0.63; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,14,GEN_CAT_QUANT_HARDENED_SIMULATION_BATCH_02_Q14,high,source,0.5589,combined=0.56; question=0.41; options=0.00; answer=0.00; skeleton=0.50; numbers=0.45; anchors=0.52; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,15,GEN_CAT_HARDENED_QUANT_15Q_SIMULATION_Q15,high,source,0.3935,combined=0.39; question=0.35; options=0.00; answer=0.00; skeleton=0.03; numbers=0.02; anchors=0.38; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,1,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q01,high,source,0.8193,combined=0.82; question=0.58; options=0.67; answer=0.00; skeleton=0.67; numbers=0.67; anchors=0.62; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,2,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q02,high,source,0.7408,combined=0.74; question=0.67; options=0.00; answer=0.00; skeleton=0.33; numbers=0.83; anchors=0.67; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,3,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q03,high,source,0.6126,combined=0.61; question=0.46; options=0.07; answer=0.00; skeleton=0.56; numbers=0.29; anchors=0.46; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,4,GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q04,high,source,0.4632,combined=0.46; question=0.45; options=0.00; answer=0.00; skeleton=0.00; numbers=0.17; anchors=0.55; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,5,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q05,high,source,0.8386,combined=0.84; question=0.72; options=0.67; answer=0.00; skeleton=0.44; numbers=0.50; anchors=0.76; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,6,GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q06,medium,source,0.3683,combined=0.37; question=0.23; options=0.00; answer=0.00; skeleton=0.14; numbers=0.20; anchors=0.26; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,7,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q07,high,source,0.7473,combined=0.75; question=0.65; options=0.00; answer=0.00; skeleton=0.60; numbers=0.63; anchors=0.65; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,8,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q08,high,source,0.7504,combined=0.75; question=0.75; options=0.67; answer=0.00; skeleton=0.13; numbers=0.14; anchors=0.73; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,9,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q09,high,source,0.7192,combined=0.72; question=0.52; options=0.00; answer=0.00; skeleton=0.80; numbers=0.67; anchors=0.52; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,10,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q10,high,source,0.5972,combined=0.60; question=0.55; options=0.04; answer=0.00; skeleton=0.17; numbers=0.44; anchors=0.39; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,11,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q11,high,source,0.7364,combined=0.74; question=0.74; options=0.00; answer=0.00; skeleton=0.38; numbers=0.31; anchors=0.76; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,12,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q12,high,source,0.7836,combined=0.78; question=0.76; options=0.00; answer=0.00; skeleton=0.67; numbers=0.50; anchors=0.35; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,13,GEN_CAT_MODERN_MATH_PRACTICE_BANK_Q17,low,skeleton,0.3810,combined=0.38; question=0.42; options=0.00; answer=0.00; skeleton=0.00; numbers=0.11; anchors=0.43; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,14,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q14,high,source,0.6566,combined=0.66; question=0.74; options=0.00; answer=0.01; skeleton=0.06; numbers=0.05; anchors=0.78; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,15,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q15,high,source,0.8072,combined=0.81; question=0.80; options=0.00; answer=0.00; skeleton=0.75; numbers=0.40; anchors=0.39; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,16,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q16,high,source,0.6883,combined=0.69; question=0.77; options=0.00; answer=0.00; skeleton=0.18; numbers=0.17; anchors=0.59; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,17,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q17,high,source,0.6434,combined=0.64; question=0.72; options=0.00; answer=0.00; skeleton=0.00; numbers=0.18; anchors=0.61; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,18,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q18,high,source,0.7101,combined=0.71; question=0.80; options=0.00; answer=0.00; skeleton=0.15; numbers=0.17; anchors=0.76; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,19,GEN_CAT_QUANT_MODERN_MATH_PRACTICE_BANK_Q19,high,source,0.4882,combined=0.49; question=0.38; options=0.17; answer=0.00; skeleton=0.11; numbers=0.29; anchors=0.40; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank (1).tex,20,GEN_CAT_MODERN_MATH_PRACTICE_BANK_1_Q20,high,source,0.6449,combined=0.64; question=0.68; options=0.00; answer=0.02; skeleton=0.21; numbers=0.16; anchors=0.47; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,1,GEN_CAT_QUANT_MODERN_MATH_PRACTICE_BANK_Q01,high,source,0.4993,combined=0.50; question=0.45; options=0.17; answer=0.00; skeleton=0.17; numbers=0.11; anchors=0.47; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,2,GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q09,low,skeleton,0.3885,combined=0.39; question=0.38; options=0.00; answer=0.00; skeleton=0.33; numbers=0.33; anchors=0.38; source=0.34; source-file-tokens=1.00
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,3,GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q06,low,skeleton,0.3391,combined=0.34; question=0.31; options=0.00; answer=0.00; skeleton=0.14; numbers=0.18; anchors=0.31; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,4,GEN_CAT_MODERN_MATH_PRACTICE_BANK_Q04,medium,source,0.4381,combined=0.44; question=0.33; options=0.00; answer=0.00; skeleton=0.00; numbers=0.20; anchors=0.33; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,5,GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q06,low,skeleton,0.3798,combined=0.38; question=0.40; options=0.00; answer=0.00; skeleton=0.11; numbers=0.17; anchors=0.39; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,6,GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q06,medium,source,0.4075,combined=0.41; question=0.23; options=0.00; answer=0.00; skeleton=0.14; numbers=0.20; anchors=0.26; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,7,GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q06,low,skeleton,0.3757,combined=0.38; question=0.39; options=0.00; answer=0.00; skeleton=0.14; numbers=0.14; anchors=0.39; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,8,GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q08,medium,source,0.3556,combined=0.36; question=0.27; options=0.00; answer=0.00; skeleton=0.03; numbers=0.02; anchors=0.32; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,9,GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q09,medium,source,0.3816,combined=0.38; question=0.23; options=0.00; answer=0.00; skeleton=0.00; numbers=0.50; anchors=0.23; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,10,GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q10,medium,source,0.3594,combined=0.36; question=0.22; options=0.00; answer=0.00; skeleton=0.00; numbers=0.36; anchors=0.22; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,11,GEN_CAT_MODERN_MATH_PRACTICE_BANK_Q11,medium,source,0.4021,combined=0.40; question=0.17; options=0.17; answer=0.00; skeleton=0.13; numbers=0.17; anchors=0.16; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,12,GEN_CAT_MODERN_MATH_PRACTICE_BANK_Q12,medium,source,0.3969,combined=0.40; question=0.15; options=0.00; answer=0.00; skeleton=0.00; numbers=0.57; anchors=0.09; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,13,GEN_CAT_MODERN_MATH_PRACTICE_BANK_Q17,low,skeleton,0.3810,combined=0.38; question=0.42; options=0.00; answer=0.00; skeleton=0.00; numbers=0.11; anchors=0.43; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,14,GEN_CAT_MODERN_MATH_PRACTICE_BANK_Q11,low,skeleton,0.3759,combined=0.38; question=0.40; options=0.00; answer=0.00; skeleton=0.04; numbers=0.08; anchors=0.42; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,15,GEN_CAT_QUANT_MODERN_MATH_PRACTICE_BANK_Q15,medium,source,0.4553,combined=0.46; question=0.33; options=0.00; answer=0.00; skeleton=0.25; numbers=0.30; anchors=0.26; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,16,GEN_CAT_QUANT_MODERN_MATH_PRACTICE_BANK_Q13,low,skeleton,0.3614,combined=0.36; question=0.37; options=0.00; answer=0.00; skeleton=0.18; numbers=0.27; anchors=0.36; source=0.34; source-file-tokens=1.00
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,17,GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q13,low,skeleton,0.4102,combined=0.41; question=0.33; options=0.33; answer=0.00; skeleton=0.40; numbers=0.20; anchors=0.34; source=0.34; source-file-tokens=1.00
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,18,GEN_CAT_MODERN_MATH_PRACTICE_BANK_Q18,medium,source,0.3866,combined=0.39; question=0.20; options=0.00; answer=0.00; skeleton=0.00; numbers=0.24; anchors=0.18; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,19,GEN_CAT_MODERN_MATH_PRACTICE_BANK_Q19,medium,source,0.4643,combined=0.46; question=0.32; options=0.00; answer=0.00; skeleton=0.00; numbers=0.33; anchors=0.34; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Modern_Math_Practice_Bank.tex,20,GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q20,medium,source,0.3854,combined=0.39; question=0.25; options=0.00; answer=0.00; skeleton=0.07; numbers=0.35; anchors=0.09; source=0.72; source-file-tokens=1.00; question-number
content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,1,GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_2_Q12,low,skeleton,0.3061,combined=0.31; question=0.17; options=0.00; answer=0.00; skeleton=0.18; numbers=0.13; anchors=0.23; source=0.46; question-number; topic
content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,2,GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q09,low,skeleton,0.3959,combined=0.40; question=0.33; options=0.00; answer=0.00; skeleton=0.20; numbers=0.30; anchors=0.19; source=0.46; question-number; topic
content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,3,GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q03,low,skeleton,0.3737,combined=0.37; question=0.21; options=0.00; answer=0.00; skeleton=0.33; numbers=0.38; anchors=0.15; source=0.46; question-number; topic
content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,4,GEN_CAT_QUANT_HARDENED_Q04,low,skeleton,0.3322,combined=0.33; question=0.24; options=0.00; answer=0.00; skeleton=0.13; numbers=0.14; anchors=0.23; source=0.46; question-number; topic
content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,5,GEN_CAT_QUANT_TOUGH_BATCH03_Q04,low,skeleton,0.3339,combined=0.33; question=0.38; options=0.00; answer=0.00; skeleton=0.38; numbers=0.20; anchors=0.24; source=0.08; topic
content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,6,GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_Q10,low,skeleton,0.3214,combined=0.32; question=0.45; options=0.00; answer=0.00; skeleton=0.13; numbers=0.07; anchors=0.41; source=0.08; topic
content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,7,GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q08,low,skeleton,0.4587,combined=0.46; question=0.42; options=0.33; answer=0.00; skeleton=0.63; numbers=0.33; anchors=0.35; source=0.08; topic
content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,8,GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q08,low,skeleton,0.3460,combined=0.35; question=0.31; options=0.00; answer=0.00; skeleton=0.13; numbers=0.06; anchors=0.16; source=0.46; question-number; topic
content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,9,GEN_CAT_QUANT_TOUGH_BATCH03_Q03,low,skeleton,0.3955,combined=0.40; question=0.38; options=0.33; answer=0.00; skeleton=0.43; numbers=0.21; anchors=0.38; source=0.08; topic
content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,10,GEN_CAT_QUANT_TOUGH_BATCH_Q05,low,skeleton,0.2844,combined=0.28; question=0.43; options=0.00; answer=0.00; skeleton=0.00; numbers=0.06; anchors=0.32; source=0.08; topic
content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,11,GEN_CAT_QUANT_TOUGH_END_PRACTICE_BATCH_Q05,low,skeleton,0.3520,combined=0.35; question=0.42; options=0.17; answer=0.00; skeleton=0.25; numbers=0.22; anchors=0.20; source=0.08; topic
content/cat/practice/latex_sources/CAT_Quant_High_Level_Practice_Pool.tex,12,GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_2_Q12,low,skeleton,0.3034,combined=0.30; question=0.19; options=0.00; answer=0.00; skeleton=0.17; numbers=0.00; anchors=0.28; source=0.46; question-number; topic
