question_id,practice_level,content_status,classification,issues
GEN_CAT_QUANT_HARDENED_Q08,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_HARDENED_SIMULATION_15Q_Q07,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_HARDENED_SIMULATION_BATCH_02_Q06,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_HARDENED_SIMULATION_BATCH_02_Q08,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_HARDENED_QA_SIMULATION_Q03,Advanced,needs_solution_review,needs_solution_review,equation_in_paragraph
GEN_CAT_HARDENED_QA_SIMULATION_Q05,Advanced,needs_solution_review,needs_solution_review,equation_in_paragraph
GEN_CAT_QUANT_HARDENED_SIMULATION_15Q_Q01,Advanced,needs_solution_review,needs_solution_review,equation_in_paragraph
GEN_CAT_QUANT_HARDENED_SIMULATION_15Q_Q09,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_HARDENED_SIMULATION_15Q_Q11,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_HARDENED_SIMULATION_BATCH_02_Q03,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_TOUGH_END_PRACTICE_BATCH_Q09,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_HARDENED_QUANT_15Q_SIMULATION_Q15,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_HARDENED_SIMULATION_15Q_Q13,Advanced,needs_solution_review,needs_solution_review,markdown_same_as_raw; equation_in_paragraph
GEN_CAT_QUANT_HARDENED_SIMULATION_BATCH_02_Q14,Advanced,needs_solution_review,needs_solution_review,markdown_same_as_raw; equation_in_paragraph
GEN_CAT_HARDENED_QA_SIMULATION_Q11,Advanced,needs_solution_review,needs_solution_review,equation_in_paragraph
GEN_CAT_HARDENED_QUANT_15Q_SIMULATION_Q03,Advanced,needs_solution_review,needs_solution_review,equation_in_paragraph
GEN_CAT_MODERN_MATH_PRACTICE_BANK_Q10,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_BATCH01_Q08,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_HARDENED_SIMULATION_15Q_Q05,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_HARDENED_SIMULATION_15Q_Q15,Advanced,needs_solution_review,needs_solution_review,equation_in_paragraph
GEN_CAT_QUANT_HARDENED_SIMULATION_BATCH_02_Q07,Advanced,safe_display,safe_display,equation_in_paragraph
GEN_CAT_QUANT_TOUGH_BATCH_Q08,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_TOUGH_END_VERIFIED_PRACTICE_BATCH_Q11,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_TOUGH_END_VERIFIED_PRACTICE_BATCH_Q13,Advanced,needs_solution_review,needs_solution_review,equation_in_paragraph
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_1_Q13,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_HARDENED_QUANT_15Q_Q09,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q10,Advanced,safe_display,safe_display,equation_in_paragraph
GEN_CAT_QUANT_PNC_PROBABILITY_PRACTICE_BANK_Q09,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_PNC_PROBABILITY_PRACTICE_BANK_Q19,Advanced,needs_solution_review,needs_solution_review,markdown_same_as_raw; equation_in_paragraph
GEN_CAT_QUANT_PNC_PROBABILITY_PRACTICE_BANK_Q20,Advanced,needs_solution_review,needs_solution_review,markdown_same_as_raw; equation_in_paragraph
GEN_CAT_HARDENED_QUANT_15Q_SIMULATION_Q10,Advanced,clean,clean_with_warnings,equation_in_paragraph
GEN_CAT_QUANT_TOUGH_BATCH_Q06,Intermediate,safe_display,safe_display,raw_residue_solution:adjacent-number fraction (10 3 / 99 16)
GEN_CAT_QUANT_TOUGH_BATCH_Q07,Intermediate,needs_solution_review,needs_solution_review,raw_residue_solution:adjacent-number fraction (10 3 / 99 16)
GEN_CAT_QUANT_TOUGH_BATCH_Q03,Intermediate,needs_solution_review,needs_solution_review,raw_residue_solution:adjacent-number fraction (10 3 / 99 16)
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q15,Intermediate,needs_solution_review,needs_solution_review,markdown_same_as_raw
GEN_CAT_HARDENED_QUANT_PAPER_Q13,Intermediate,needs_solution_review,needs_solution_review,markdown_same_as_raw
GEN_CAT_QUANT_BATCH02_Q08,Intermediate,clean,clean_exam_rendered,markdown_same_as_raw
GEN_CAT_QUANT_PREMIUM_TOUGH_PRACTICE_15Q_Q10,Intermediate,needs_solution_review,needs_solution_review,raw_residue_solution:leaked LaTeX command outside math
GEN_CAT_QUANT_TOUGH_BATCH_Q13,Intermediate,clean,clean_exam_rendered,markdown_same_as_raw
GEN_CAT_QUANT_TOUGH_BATCH_Q14,Intermediate,clean,clean_exam_rendered,markdown_same_as_raw
GEN_CAT_QUANT_TOUGH_END_PRACTICE_BATCH_Q13,Intermediate,needs_solution_review,needs_solution_review,markdown_same_as_raw
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_2_Q14,Intermediate,needs_solution_review,needs_solution_review,markdown_same_as_raw
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q07,Intermediate,clean,clean_exam_rendered,markdown_same_as_raw
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q12,Intermediate,needs_solution_review,needs_solution_review,raw_residue_solution:adjacent-number fraction (10 3 / 99 16); markdown_same_as_raw
GEN_CAT_QUANT_TOUGH_END_PRACTICE_BATCH_Q04,Intermediate,needs_solution_review,needs_solution_review,raw_residue_solution:adjacent-number fraction (10 3 / 99 16)
GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q11,Intermediate,safe_display,safe_display,raw_residue_solution:adjacent-number fraction (10 3 / 99 16)
GEN_CAT_QUANT_BATCH01_Q07,Intermediate,clean,clean_exam_rendered,markdown_same_as_raw
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_2_Q13,Intermediate,clean,clean_exam_rendered,markdown_same_as_raw
GEN_CAT_HARDENED_QA_SIMULATION_Q13,Advanced,clean,clean_exam_rendered,markdown_same_as_raw
GEN_CAT_QUANT_HARDENED_SIMULATION_BATCH_02_Q04,Advanced,needs_solution_review,needs_solution_review,raw_residue_solution:adjacent-number fraction (10 3 / 99 16)
GEN_CAT_QUANT_HARDENED_SIMULATION_BATCH_02_Q13,Advanced,needs_solution_review,needs_solution_review,markdown_same_as_raw
GEN_CAT_QUANT_TOUGH_BATCH03_Q13,Advanced,clean,clean_exam_rendered,markdown_same_as_raw
GEN_CAT_QUANT_HARDENED_SIMULATION_15Q_Q10,Advanced,needs_solution_review,needs_solution_review,raw_residue_solution:adjacent-number fraction (10 3 / 99 16)
GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q19,Advanced,needs_solution_review,needs_solution_review,markdown_same_as_raw
GEN_CAT_MODERN_MATH_PNC_PROBABILITY_PRACTICE_BANK_Q20,Advanced,needs_solution_review,needs_solution_review,raw_residue_solution:adjacent-number fraction (10 3 / 99 16)
