question_id,batch_id,question_number,topic,subtopic,difficulty,question_type,review_status,candidate_repair_confidence,candidate_repair_notes,question_text_markdown_candidate,option_a_markdown_candidate,option_b_markdown_candidate,option_c_markdown_candidate,option_d_markdown_candidate,detailed_solution_markdown_candidate
GEN_CAT_QUANT_PREMIUM_TOUGH_PRACTICE_15Q_Q08,cat_quant_premium_tough_practice_15q,,Algebra,Inequalities with Absolute Values,Hard,MCQ,safe_candidate_ready,high,,The number of integer values of x that satisfy |x - 3| + |x + 2| ≤ 7 is:,7,8,9,10,"The number of integer values of x that satisfy |x - 3| + |x + 2| ≤ 7 is: Solution. |x - 3| + |x + 2| is the sum of distances of x from 3 and -2 on the number line. - If -2 ≤ x ≤ 3: the sum equals 5, which is always ≤ 7. - If x > 3: sum = (x - 3) + (x + 2) = 2x - 1 ≤ 7 => x ≤ 4. - If x < -2: sum = (3 - x) + (-x - 2) = 1 - 2x ≤ 7 => x ≥ -3. So x ∈ [-3, 4]. Integers: -3, -2, -1, 0, 1, 2, 3, 4 - that is 8 values."
GEN_CAT_QUANT_TOUGH_BATCH_Q06,cat_quant_tough_batch,9,Algebra,Functions,Hard,MCQ,safe_candidate_ready,high,,"For every non - zero real number $x$, a function f satisfies f(x) + 2xf 1 $$ x=x^2+5x+2. $$ What is the value of f(2)?",1,$\frac{5}{4}$,$\frac{3}{2}$,$\frac{7}{4}$,"### Step 1 Substitute x = 2 in the given equation: f(2) + 4f $\frac{1}{2}$ = 16. ### Step 2 Substitute x = 1 2: f $\frac{1}{2}$ + f(2) = $\frac{1}{4}$ + 5 2 + 2 = 19 4. ### Step 3 Let A = f(2) and B = f $\frac{1}{2}$. Then A + 4B = 16, and A + B = 19 4. 10 ### Step 4 Subtracting the second equation from the first gives 3B = 16 -19 4 = 45 4, so B = 15 4. ### Step 5 Hence A = 19 4 -15 4 = 1. Therefore, f(2) = 1."
GEN_CAT_QUANT_TOUGH_BATCH_Q07,cat_quant_tough_batch,,Algebra,Logarithms,Medium-Hard,MCQ,safe_candidate_ready,high,,"Logarithm system with reciprocal relation. Let x > $y > 1$, xy = 64, and $\log_x y + \log_y x$ = 5 2. What is x -y?",6,8,10,12,"### Step 1 Let t = $\log_x y$. Then $\log_y x$ = 1/t. ### Step 2 The given equation becomes t + 1/t = 5 2. Thus 2t2 -5t + 2 = 0. ### Step 3 This gives t = 2 or t = 1 2. Since x > y > 1, we must have 0 < t < 1, so t = 1 2. ### Step 4 Hence y = x1/2. Since xy = 64, x√x = 64. Thus x^$\frac{3}{2}$ = 64 = 82, giving x = 16. ### Step 5 Then y = 4, so x -y = 12."
GEN_CAT_QUANT_TOUGH_BATCH03_Q07,cat_quant_tough_batch03,,Algebra,Inequalities with Parameter,Hard,TITA,safe_candidate_ready,high,,Find the number of integer values of a for which $x^2$ -ax + 16 $x^2$ -6x + 8 ≥0 holds for every real $x$ < 2.,,,,,"### Step 1 For x < 2, the denominator is $x^2$ -6x + 8 = (x -2)(x -4). Since both (x -2) and (x -4) are negative, the denominator is positive. ### Step 2 Hence, the inequality is equivalent to requiring $x^2$ -ax + 16 ≥0 for every real x < 2. ### Step 3 Let g(x) = $x^2$ -ax + 16. If a < 4, the vertex x = a/2 lies in the interval x < 2. Therefore, 16 -$a^2$ 4 ≥0 =>|a| ≤8. Together with a < 4, this gives integer a = -8, -7,..., 3, i.e., 12 values. ### Step 4 If a ≥4, the minimum over x < 2 is approached as x approaches 2 from the left. We need g(2) = 20 -2a ≥0 =>a ≤10. Thus, a = 4, 5,..., 10, i.e., 7 values. ### Step 5 Total number of values is 12 + 7 = 19."
GEN_CAT_QUANT_TOUGH_BATCH03_Q08,cat_quant_tough_batch03,,Algebra,Logarithms,Hard,MCQ,safe_candidate_ready,high,,Let $a > 1$ and $b > 1$ satisfy $\log_a b + \log_b a = \frac{10}{3}$. The expression $\log_{ab}(a^2b^3)$ can take two possible values. What is the product of these two values?,$\frac{99}{16}$,$\frac{45}{16}$,5,$\frac{9}{2}$,"### Step 1 Let t = $\log_a b$. Then $\log_b a$ = 1/t. ### Step 2 We are given t + 1/t = $\frac{10}{3}$. Thus, $3t^2$ -10t + 3 = 0 =>t = 3 or t = $\frac{1}{3}$. ### Step 3 Now, $\log_{ab}(a^$2b^3$)$ = (2 log a + 3 log b)/(log a + log b). Since log b = t log a, this becomes (2 + 3t)/(1 + t). ### Step 4 For t = 3, the value is 2 + $\frac{9}{4}$ = $\frac{11}{4}$. For t = $\frac{1}{3}$, the value is 2 + 1 1 + $\frac{1}{3}$ = 3 $\frac{4}{3}$ = $\frac{9}{4}$. ### Step 5 Product of the two possible values is $\frac{11}{4}$ x $\frac{9}{4}$ = $\frac{99}{16}$."
GEN_CAT_QUANT_TOUGH_END_VERIFIED_PRACTICE_BATCH_Q06,cat_quant_tough_end_verified_practice_batch,,Algebra,Functions with substitution-pair relation,Hard,MCQ,safe_candidate_ready,high,,A function f is defined on all non - zero real numbers and satisfies $2f(x)$ + 3 f 1 $$ x=5x+4 $$ x for every x ≠ 0. Find the value of f(2) + f 1.,$\frac{9}{2}$,$\frac{21}{5}$,$\frac{27}{5}$,33 $\frac{10}{3}$,### Step 1 Substitute x = 2 in $2f(x)$ + $3f(1/x)$ = 5x + 4/x: $2f(2)$ + 3f($\frac{1}{2}$) = 10 + 2 = 12. (i) ### Step 2 Substitute x = $\frac{1}{2}$: 2f($\frac{1}{2}$) + $3f(2)$ = $\frac{5}{2}$ + 8 = $\frac{21}{2}$. (ii) ### Step 3 Add equations (i) and (ii): 5 f(2) + 5 f($\frac{1}{2}$) = 12 + 21 2 = 24 + 21 2 = 45 2. ### Step 4 Therefore f(2) + f($\frac{1}{2}$) = 45 10 = $\frac{9}{2}$. ### Step 5 Answer: (A) $\frac{9}{2}$.
GEN_CAT_QUANT_TOUGH_END_VERIFIED_PRACTICE_BATCH_Q07,cat_quant_tough_end_verified_practice_batch,,Algebra,Logarithm system across multiple bases,Hard,TITA,safe_candidate_ready,high,,"The value of log₂(xyz) can be written as p q in lowest terms with p, q positive integers. Enter p + q.",,,,,"### Step 1 Convert all logs to base 2. Let p = log₂ x, q = log₂ y, r = log₂ z. Then log₄ t = log₂ t 2 and log₈ t = log₂ t 3. 11 ### Step 2 The system becomes p + q 2 + r 3 = 7, q + r 2 + p 3 = 8, r + p 2 + q 3 = 9. ### Step 3 Add all three equations. By the cyclic structure, the coefficient of each variable on the left is 1 + $\frac{1}{2}$ + $\frac{1}{3}$ = 6 + 3 + 2 6 = $\frac{11}{6}$. ### Step 4 So $\frac{11}{6}$ (p + q + r) = 7 + 8 + 9 = 24, giving p + q + r = 144 11. ### Step 5 Thus log₂(xyz) = p + q + r = 144 11. Since gcd(144, 11) = 1, we have pnum = 144 and qden = 11. Their sum is 144 + 11 = 155. ### Step 6 Answer: 155."
GEN_CAT_QUANT_TOUGH_END_VERIFIED_PRACTICE_BATCH_Q08,cat_quant_tough_end_verified_practice_batch,7,Algebra,Quadratic with integer parameter,Hard,MCQ,safe_candidate_ready,high,,For how many integer values of k does the quadratic equation $x^2$ -(k + 3) $$ x+(3k+4)=0 $$ have both its roots as positive integers?,2,3,4,5,"### Step 1 Let the roots be p and q (both positive integers). By Vieta: p + q = k + 3 and pq = 3k + 4. ### Step 2 Eliminate k: k = p + q -3, so pq = 3(p + q -3) + 4 = 3p + 3q -5. ### Step 3 Rearrange: pq -3p -3q + 9 = 4, giving (p -3)(q -3) = 4. ### Step 4 All integer factor pairs of 4: (1, 4), (4, 1), (2, 2), (-1, -4), (-4, -1), (-2, -2). Corresponding (p,q): (4, 7), (7, 4), (5, 5), (2, -1), (-1, 2), (1, 1). ### Step 5 Keep only pairs with both entries positive integers: (4, 7), (7, 4), (5, 5), (1, 1). Distinct unordered pairs of roots: {4, 7}, {5, 5}, {1, 1}. ### Step 6 Corresponding values of k = p + q -3: k = 8 (for {4, 7}), k = 7 (for {5, 5}), k = -1 (for {1, 1}). Three distinct integer values of k. ### Step 7 Verify each: k = 8: $x^2$ -11x + 28 = (x -4)(x -7) ✓. k = 7: $x^2$ -10x + 25 = (x -5)2 ✓. k = -1: $x^2$ -2x + 1 = (x -1)2 ✓. ### Step 8 Answer: (B) 3."
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_1_Q04,cat_quant_verified_practice_batch_01_1,,Algebra,Inequalities with modulus,Hard,MCQ,safe_candidate_ready,high,,Find the set of all real values of x satisfying $x^2$ -|x -4| -12 > 0.,"-∞, -1 - $\sqrt{65}$ 2 ! ∪ -1 + $\sqrt{65}$ 2, ∞ !","-∞, 1 - $\sqrt{65}$ 2 ! ∪(4, ∞)","-1 - $\sqrt{65}$ 2, -1 + $\sqrt{65}$ 2 ! ∪[4, ∞)","(-∞, -4) ∪ -1 + $\sqrt{65}$ 2, 4 !","### Step 1 Split the inequality at x = 4. ### Step 2 For x ≥4, |x -4| = x -4. The inequality becomes $x^2$ -x + 4 -12 > 0 => $x^2$ -x -8 > 0. The positive root is 1 + $\sqrt{33}$ 2 < 4, so every x ≥4 satisfies this part. ### Step 3 For x < 4, |x -4| = 4 -x. The inequality becomes $x^2$ -(4 -x) -12 > 0 => $x^2$ + x -16 > 0. ### Step 4 The roots of $x^2$ + x -16 = 0 are -1 - $\sqrt{65}$ 2 and -1 + $\sqrt{65}$ 2. ### Step 5 Therefore, for x < 4, the solution is -∞, -1 - $\sqrt{65}$ 2 ! ∪ -1 + $\sqrt{65}$ 2, 4 !. ### Step 6 Combining with all x ≥4, the final set is -∞, -1 - $\sqrt{65}$ 2 ! ∪ -1 + $\sqrt{65}$ 2, ∞ !. 9"
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_1_Q14,cat_quant_verified_practice_batch_01_1,,Algebra,Logarithms,Medium-Hard,TITA,safe_candidate_ready,high,,"For positive real numbers x, y, z, log₂ x + log₄ y + log₈ z = 29 3, log₂(xy) = 8, log₂(yz) = 10. Find the value of xyz.",,,,,"### Step 1 Let a = log₂ x, b = log₂ y, c = log₂ z. ### Step 2 The first equation becomes $a+b$ 2 + c 3 = 29 3. 15 ### Step 3 The other two equations become $a+b$ = 8, b + c = 10. ### Step 4 From these, a = 8 -b and c = 10 -b. ### Step 5 Substitute in the first equation: 8 -b + b 2 + 10 -b 3 = 29 3. Multiplying by 6, 48 -6b + 3b + 20 -2b = 58. Thus 68 -5b = 58, so b = 2. ### Step 6 Then a = 6 and c = 8. ### Step 7 Therefore, log₂(xyz) = $a+b$ + c = 6 + 2 + 8 = 16. ### Step 8 Hence, xyz = 216 = 65536."
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_1_Q15,cat_quant_verified_practice_batch_01_1,,Algebra,Sequences and exponents,Hard,TITA,safe_candidate_ready,high,,"For each natural number k, let ak = 2k. Find the smallest natural number m for which (a1)2($a^2$)3($a^3$)4 · · · (a15)16 < a16a17 · · · a15+m.",,,,,"### Step 1 Since ak = 2k, the left side is (21)2(22)3 · · · (215)16 = 2 P15 k=1 k(k+1). ### Step 2 Compute 15 X k=1 k(k + 1) = 15 X k=1 $k^2$ + 15 X k=1 k. ### Step 3 Now 15 X k=1 $k^2$ = 1240, 15 X k=1 k = 120. So the left side is 21360. ### Step 4 The right side is a16a17 · · · a15+m = 216+17+···+(15+m). The exponent is m(16 + 15 + m) 2 = m(m + 31) 2. 16 ### Step 5 We need m(m + 31) 2 > 1360. So m(m + 31) > 2720. ### Step 6 Testing around the root, for m = 38, 38 · 69 = 2622 < 2720. For m = 39, 39 · 70 = 2730 > 2720. ### Step 7 Therefore, the smallest such m is 39."
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_2_Q02,cat_quant_verified_practice_batch_01_2,,Algebra,Logarithmic equations,Medium-Hard,TITA,safe_candidate_ready,high,,"If x is a real number greater than 1 satisfying (log₂ x)2 -log₂ $$ (x6)+8=0 $$ , then the product of all possible values of x equals.",,,,,"### Step 1 Let t = log₂ x. Since log₂(x6) = 6 log₂ x = 6t, the equation becomes $t^2$ -6t + 8 = 0. ### Step 2 Factorise: (t -2)(t -4) = 0, so t = 2 or t = 4. ### Step 3 Therefore x = 22 = 4 or x = 24 = 16. Both exceed 1, so both are admissible. ### Step 4 The product of the two admissible values is 4 x 16 = 64."
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_2_Q06,cat_quant_verified_practice_batch_01_2,,Algebra,"Recurrence relation, integer divisibility",Hard,TITA,safe_candidate_ready,high,,"A function f is defined on the positive integers and satisfies f(1) = 2, $$ f(n+1)=f(n)+2n+1 $$ for every n ≥1. The number of positive integers n with 1 ≤n ≤100 for which f(n) is divisible by 5 is:",,,,,"### Step 1 From f(n + 1) -f(n) = 2n + 1 for n ≥1, telescoping gives f(n) = f(1) + n - 1 X k=1 (2k + 1) = 2 + 2 · (n - 1)n 2 + (n -1) = 2 + (n -1)(n + 1) = $n^2$ + 1. ### Step 2 We need 5 | $n^2$ + 1, i.e., $n^2$ ≡-1 ≡4 (mod 5). Checking residues: 02 = 0, 12 = 1, 22 = 4, 32 = 4, 42 = 1 (mod 5). Thus $n^2$ ≡4 (mod 5) iff n ≡2 or n ≡3 (mod 5). ### Step 3 In the range 1 ≤n ≤100: integers with n ≡2 (mod 5) are 2, 7, 12,..., 97 - a total of 20 values. Integers with n ≡3 (mod 5) are 3, 8, 13,..., 98 - another 20 values. ### Step 4 The two sets are disjoint, so the total count is 20 + 20 = 40."
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q05,cat_quant_verified_practice_batch_02_tough,,Algebra,Integer equations,Hard,TITA,safe_candidate_ready,high,,"Factorisation hidden inside a two-variable Diophantine equation Positive integers m and n, with m < n, satisfy $$ 6mn=21m+10n+140. $$ Find the minimum possible value of m + n.",,,,,"### Step 1 Start with 6mn = 21m + 10n + 140. Rearrange to prepare a factorisation. ### Step 2 Observe that (3m -5)(2n -7) = 6mn -21m -10n + 35. ### Step 3 Using the given equation, 6mn -21m -10n = 140. Therefore, (3m -5)(2n -7) = 175. ### Step 4 Since m, n are positive integers, factor pairs of 175 are tested: 1 x 175, 5 x 35, 7 x 25, 25 x 7, 35 x 5, 175 x 1. ### Step 5 Values that produce integer m, n with m < n include (m,n) = (2, 91) and (4, 16). The minimum sum is from (4, 16), giving m + n = 20."
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q06,cat_quant_verified_practice_batch_02_tough,,Algebra,Logarithms and powers,Hard,MCQ,safe_candidate_ready,high,,"Let x, y, z be powers of 2 greater than 1, not necessarily distinct. They satisfy $\log_x 64 + \log_y 64 + \log_z 64 = \frac{11}{2}$. If xyz is as small as possible, what is x + y + z?",28,32,84,4108,"### Step 1 Since x, y, z are powers of 2 greater than 1, let x = 2a, y = 2b, z = 2c, where a, b, c are positive integers. ### Step 2 Then $\log_x 64$ = 6 a, $\log_y 64$ = 6 b, $\log_z 64$ = 6 c. So 6 a + 6 b + 6 c = $\frac{11}{2}$, 10 which gives 1 a + 1 b + 1 c = 11 12. ### Step 3 The positive integer solutions, in nondecreasing order, are (2, 3, 12), (2, 4, 6), (3, 3, 4). ### Step 4 To make xyz = 2a+b+c as small as possible, minimise $a+b$+c. The sums are 17, 12, 10, respectively. Hence (a, b, c) = (3, 3, 4). ### Step 5 Therefore, x + y + z = 23 + 23 + 24 = 8 + 8 + 16 = 32."
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q11,cat_quant_verified_practice_batch_02_tough,,Algebra,Reciprocal equations and integer triples,Hard,MCQ,safe_candidate_ready,high,,"How many ordered triples (x, y, z) of positive integers satisfy x + 1 y + 1 $$ z=1/2 $$ , where x ≤y ≤z?",8,9,10,12,"### Step 1 Since x ≤y ≤z, we have 1 x ≥1 y ≥1 z. Also, 3 x ≥$\frac{1}{2}$, so x ≤6. Since 1 x < $\frac{1}{2}$ for positive remaining terms, x ≥3. Hence x = 3, 4, 5, 6. 13 ### Step 2 For x = 3, 1 y + 1 z = 1 6. With y ≤z, possible triples are (3, 7, 42), (3, 8, 24), (3, 9, 18), (3, 10, 15), (3, 12, 12). This gives 5 triples. ### Step 3 For x = 4, 1 y + 1 z = $\frac{1}{4}$. The triples are (4, 5, 20), (4, 6, 12), (4, 8, 8). This gives 3 triples. ### Step 4 For x = 5, the only triple is (5, 5, 10). For x = 6, the only triple is (6, 6, 6). ### Step 5 Total number of triples is 5 + 3 + 1 + 1 = 10."
GEN_CAT_HARDENED_QUANT_15Q_Q01,cat_hardened_quant_15q,,Arithmetic,Unmapped,Hard,MCQ,safe_candidate_ready,high,,"A vessel is completely filled with a mixture of milk and water in the ratio 7: 3. From this vessel, 20 litres of the mixture is drawn out and replaced by an equal quantity of water. As a result, the ratio of milk to water in the vessel becomes 21: 29. What is the capacity (in litres) of the vessel?",40,50,60,70 Topic: Arithmetic/Mixtures & Alligation - Difficulty: Hard - Type: MCQ,"Let the capacity of the vessel be V litres. Initially milk = 7 10V. When 20 L of the mixture is drawn out, the fraction of the original contents that remains is 1 -20 V, so the milk left is 7 10V 1 -20 V. Refilling with water leaves the total volume unchanged at V. The new ratio milk: water = 21: 29, so the new milk fraction is 21 50: 7 10 1 -20 V = 21 50 ==>1 -20 V = 21 50 · 10 7 = 3 5. Hence 20 V = 2 5, giving V = 50. Verification: Start with 35 L milk, 15 L water. Drawing 20 L of mixture removes 14 L milk and 6 L water, leaving 21 L milk and 9 L water. Adding 20 L water gives 21 L milk and 29 L water - ratio 21: 29. ✓"
GEN_CAT_HARDENED_QUANT_15Q_Q03,cat_hardened_quant_15q,,Arithmetic,Unmapped,Hard,MCQ,safe_candidate_ready,high,,"A trader, while purchasing goods from his supplier, uses a balance whose pan reads “1000 g” when the actual weight placed is 1200g(he gains the extra weight). While selling those same goods to a customer, he uses a different balance whose pan reads “1000 g” when the actual weight given is 800 g. He pays his supplier and charges his customer at the same rate per kg (as displayed by the balance in each case). What is his overall profit percentage?",40%,44%,50%,60% Topic: Arithmetic/Profit-Loss with False Weights - Difficulty: Hard - Type: MCQ,"Let the displayed rate be P (in monetary units) per displayed kg, used identically while buying and selling. Buying: The pan reads 1000 g but 1200 g is actually placed. The trader pays P for 1200 g of actual goods. Hence his cost is P 1200 per gram. Selling: The pan reads 1000 g but only 800 g is actually handed to the customer. The customer pays P for 800 g of actual goods. Hence the selling price realised is P 800 per gram. Profit% = P/800 -P/1200 P/1200 x 100 = 1200 800 -1 x 100 = 50%."
