archetype,calculation_load,candidate_id,cat_likeness_score,common_wrong_approaches,correct_answer,coverage_gain_score,coverage_recovery_eligible,detailed_solution,difficulty,difficulty_match_score,estimated_time_min,evidence_alignment_score,expected_question_value,final_question_value_score,generation_method,hidden_constraints,option_a,option_b,option_c,option_d,option_quality_score,paper_eligible,parse_notes,parse_status,prediction_score,question_text,question_type,reasoning_depth,reasoning_depth_score,redundancy_penalty,rejection_reason,section,selection_reason,solution_clarity_score,source_pool,source_question_ids,source_tex_file,spec_id,subtopic,topic,trap_quality_score,trap_type,verification_status,why_cat_level
Work-efficiency problem,3.0,CAT_QA_SPEC_02_CAND_04,1.0,,1.125 days,,,"Since wages are proportional to work done, A's work : B's work = 5000 : 3000 = 5 : 3. Let the total completion time be T days. A works for T days and B works for T - x days. Their work amounts are T/18 and (T-x)/27. Hence (T/18)/((T-x)/27) = 5/3. This gives 3T/(2(T-x)) = 5/3, so 9T = 10T - 10x, hence T = 10x. Completion condition: T/18 + (T-x)/27 = 1. Substituting T = 10x gives 10x/18 + 9x/27 = 5x/9 + x/3 = 8x/9 = 1. Therefore x = 9/8 = 1.125 days.",Medium,,3.0,,0.862,0.862,codex_manual_generation,"Wages are proportional to work done, not to days present; B joins after x days and works fewer days.",1.125 days,1.5 days,2 days,2.25 days,,YES,,,,"A can complete a job in 18 days and B can complete it in 27 days. A works from the start, while B joins after x days. The job is then completed, and their wages are divided in the ratio of the work actually done by A and B. If A receives Rs 5000 and B receives Rs 3000, then after how many days from the start did B join?",MCQ,4.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q15;CAT_2017_S2_QA_Q13;CAT_2018_S1_QA_Q08,,CAT_QA_SPEC_02,Time and Work,Arithmetic,,wage-share versus time-share trap,VERIFIED,
Profit-loss transaction problem,3.0,CAT_QA_SPEC_01_ELITE_01,1.0,,Rs 1200,,,"Step 1: Total cost price = 40 x 900 + 80 x 800 = 36000 + 64000 = Rs 100000. Step 2: Let the marked price be M. The three realized selling-price groups contribute 30M + 50 x 0.88M + 40 x 0.75M = 30M + 44M + 30M = 104M. Step 3: A 24.8% overall profit means total revenue = 100000 x 1.248 = Rs 124800. Step 4: Hence 104M = 124800, so M = Rs 1200. Verification: revenue = 30 x 1200 + 50 x 1056 + 40 x 900 = 36000 + 52800 + 36000 = Rs 124800.",Hard,,3.0,,0.853,0.853,codex_elite_generation,"The purchase batches have different cost prices, while the selling batches have different discount bases but one common marked price.",Rs 1120,Rs 1160,Rs 1200,Rs 1250,,YES,,,,"A distributor buys 40 mixers at Rs 900 each and 80 more mixers at Rs 800 each. All 120 mixers are given the same marked price. During a festival, 30 are sold without discount, 50 are sold at a discount of 12%, and the remaining 40 are sold to a reseller at a discount of 25%. If the distributor's overall profit is 24.8%, what is the marked price of each mixer?",MCQ,4.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q08;CAT_2017_S1_QA_Q10;CAT_2017_S1_QA_Q12,,CAT_QA_SPEC_01,Profit and Loss,Arithmetic,,mixed cost batch and weighted discount trap,VERIFIED,
Successive percentage change,3,CAT_QA_SPEC_06_CLAUDE_06,1.0,"Using $\dfrac{9}{19}$ of all candidates instead of of those who do not clear all three. | Confusing ""failed only C"" with ""cleared only C."" | Using $0.40N$ as those who clear all three instead of $40\%$ of those who cleared A and B.",2000,0.55,NO,"Step 1: Let total candidates $= N$. Clear A $= 0.80 N$. Clear A and B $= 0.75 \times 0.80 N = 0.60 N$. Step 2: Clear all three $= 0.40 \times 0.60 N = 0.24 N$. Hence candidates who do not clear all three $= N - 0.24N = 0.76N$. Step 3: Failed only C means cleared A and B but failed C, so this group is $0.60N - 0.24N = 0.36N$. Step 4: The given fraction is consistent because $0.36N/0.76N = 36/76 = 9/19$. Step 5: Given $0.36N = 720$, we get $N = 720/0.36 = 2000$.",Medium-Hard,0.45,4,0.784,0.851,0.872,,nested grade subgroups in an exam,,,,,1.0,YES,,OK,0.67,"In an entrance test, $80\%$ of candidates clear Section A. Of those who clear Section A, $75\%$ clear Section B. Of those who clear both sections, $40\%$ clear Section C. Among the candidates who do not clear all three sections, the candidates who failed only Section C (i.e., cleared A and B but failed C) form $\dfrac{9}{19}$ of that group. If the number of such candidates is $720$, find the total number of candidates who appeared.",TITA,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S2_QA_Q06;CAT_2017_S2_QA_Q10,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_02_arithmetic_recovery_cleaned.tex,CAT_QA_SPEC_06,Percentages,Arithmetic,1.0,changed denominator trap,,"The problem deliberately overspecifies (with the $35\%$ value) and the candidate must recognize that the absolute count ""$720$"" overrides the percentage relation, otherwise the system seems inconsistent."
Ratio sharing problem,3.0,CAT_QA_SPEC_03_ELITE_02,1.0,,756,,,"Step 1: Let the initial numbers be 13k and 8k. Suppose x tokens are first moved from A to B. Step 2: Then (13k - x)/(8k + x) = 5/4. Cross-multiplying gives 52k - 4x = 40k + 5x, so 12k = 9x and x = 4k/3. Step 3: After this transfer, the boxes have 13k - 4k/3 = 35k/3 and 8k + 4k/3 = 28k/3 tokens. Step 4: Moving 42 more from A to B makes them equal, so 35k/3 - 42 = 28k/3 + 42. Step 5: Therefore 7k/3 = 84, so k = 36. Initial total = 21k = 756.",Hard,,3.5,,0.843,0.843,codex_elite_generation,"The second transfer occurs after the first ratio change, so the changed quantities must be used as the new base.",,,,,,YES,,,,"Two boxes A and B contain tokens in the ratio 13:8. Some tokens are moved from A to B, after which the ratio becomes 5:4. If 42 more tokens are then moved from A to B and the two boxes become equal, what was the total number of tokens initially?",TITA,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S2_QA_Q14;CAT_2018_S1_QA_Q34;CAT_2018_S2_QA_Q33,,CAT_QA_SPEC_03,Ratio and Proportion,Arithmetic,,two-stage transfer ratio trap,VERIFIED,
Profit-loss transaction problem,2.0,CAT_QA_SPEC_01_CAND_02,0.97,,Rs 792,,,"Total cost price = 100 x 600 = Rs 60000. Let the marked price of each headphone be M. The total selling price is 50 x 0.90M + 30 x 0.80M + 20 x 0.65M = 45M + 24M + 13M = 82M. Overall profit is 8.24%, so total selling price = 60000 x 1.0824 = Rs 64944. Therefore 82M = 64944, giving M = 64944/82 = Rs 792. Verification: revenue = 82 x 792 = Rs 64944, profit = 64944 - 60000 = Rs 4944, and 4944/60000 = 8.24%.",Medium,,2.5,,0.835,0.835,codex_manual_generation,The damaged packaging group has a separate discount; using a simple average discount gives a wrong base.,Rs 780,Rs 792,Rs 810,Rs 825,,YES,,,,"A store buys 100 identical headphones at Rs 600 each and marks all of them at the same price. It sells 50 at a discount of 10%, 30 at a discount of 20%, and the remaining 20, whose packaging is slightly damaged, at a discount of 35%. If the store makes an overall profit of 8.24%, what is the marked price of each headphone?",MCQ,3.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q08;CAT_2017_S1_QA_Q10;CAT_2017_S1_QA_Q11,,CAT_QA_SPEC_01,Profit and Loss,Arithmetic,,base-value shift / weighted discount trap,VERIFIED,
Relative speed problem,4.0,CAT_QA_SPEC_04_ELITE_01,0.84,,37.6 km/h,,,"Step 1: While crossing the platform, Train A covers its own length plus platform length = 250 + 150 = 400 m in 20 seconds. So speed of A = 20 m/s. Step 2: While overtaking Train B in the same direction, Train A must cover the sum of both train lengths relative to B: 250 + 180 = 430 m. Step 3: Relative speed = 430/45 = 86/9 m/s. Step 4: Speed of B = 20 - 86/9 = 94/9 m/s. Step 5: Convert to km/h: (94/9) x 18/5 = 188/5 = 37.6 km/h.",Hard,,3.0,,0.830,0.83,codex_elite_generation,"The platform condition gives train A's speed, while overtaking requires the sum of train lengths and relative speed.",32.4 km/h,36 km/h,37.6 km/h,40 km/h,,YES,,,,"Train A crosses a 150 m platform in 20 seconds. It overtakes a 180 m long train B, moving in the same direction, in 45 seconds. If train A is 250 m long, what is the speed of train B?",MCQ,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q04;CAT_2017_S2_QA_Q04;CAT_2018_S1_QA_Q04,,CAT_QA_SPEC_04,Time Speed Distance,Arithmetic,,platform length and same-direction relative speed trap,VERIFIED,
Ratio sharing problem,4.0,CAT_QA_SPEC_03_ELITE_04,0.79,,153000,,,"Step 1: Let incomes be 9x and 7x, and expenditures be 4y and 3y. Savings are 9x - 4y and 7x - 3y. Step 2: A saves Rs 14000 more, so 9x - 4y = 7x - 3y + 14000, giving 2x - y = 14000. Step 3: After the expenditure changes, A's new saving is 9x - 1.1(4y) = 9x - 4.4y, and B's new saving is 7x - 0.9(3y) = 7x - 2.7y. Step 4: These are equal, so 9x - 4.4y = 7x - 2.7y, giving 2x = 1.7y and y = 20x/17. Step 5: Substitute in 2x - y = 14000: 2x - 20x/17 = 14000, so 14x/17 = 14000 and x = 17000. A's income = 9x = Rs 153000.",Hard,,4.0,,0.820,0.82,codex_elite_generation,"The expenditure changes apply to expenditure amounts, not to incomes or savings.",,,,,,NO,,,,"A and B have monthly incomes in the ratio 9:7 and monthly expenditures in the ratio 4:3. A saves Rs 14000 more than B. If A increases his expenditure by 10% and B reduces his expenditure by 10%, their new savings become equal. What is A's original monthly income in rupees?",TITA,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q13;CAT_2019_S1_QA_Q12;CAT_2019_S1_QA_Q23,,CAT_QA_SPEC_03,Ratio and Proportion,Arithmetic,,changed expenditure base trap,VERIFIED,
Roots and coefficients problem,3.0,CAT_QA_SPEC_05_ELITE_02,0.84,,0,,,"Step 1: Let the roots be a and 2a, where a is a positive integer. Step 2: Sum of roots = 3a = m + 5, and product = 2a^2 = 6m, so m = a^2/3. Step 3: Since m is an integer, a must be divisible by 3. Let a = 3t, then m = 3t^2. Step 4: Use the sum equation: 3a = m + 5 becomes 9t = 3t^2 + 5, or 3t^2 - 9t + 5 = 0. This has discriminant 81 - 60 = 21, not a perfect square, so no integer t works. Step 5: Therefore there are 0 integer values of m.",Hard,,3.5,,0.801,0.801,codex_elite_generation,"The ratio condition, integer roots, and integer parameter must all hold simultaneously.",0,1,2,3,,YES,,,,"For how many integer values of m does the equation x^2 - (m+5)x + 6m = 0 have two distinct positive integer roots, one of which is exactly twice the other?",MCQ,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q33;CAT_2017_S2_QA_Q23;CAT_2018_S1_QA_Q25,,CAT_QA_SPEC_05,Quadratic Equations,Algebra,,root-ratio and integer-parameter trap,VERIFIED,
Roots and coefficients problem,3.0,CAT_QA_SPEC_05_ELITE_03,0.84,,3,,,"Step 1: Let f(x) = x^2 - 8x + 12. It has roots 2 and 6 and vertex at x = 4, where f(4) = 16 - 32 + 12 = -4. Step 2: The equation |f(x)| = a is equivalent to f(x) = a and f(x) = -a. Step 3: For a > 0, f(x) = a always gives two real roots because the horizontal line is above the vertex. Step 4: The equation f(x) = -a gives two real roots if -a is between -4 and 0, i.e. 0 < a < 4; one repeated root if a = 4; and no roots if a > 4. Step 5: Exactly four distinct roots require 0 < a < 4. Integer values between 1 and 12 are a = 1, 2, 3. Hence the answer is 3.",Hard,,3.5,,0.801,0.801,codex_elite_generation,Exactly four distinct roots depends on the vertex depth of the quadratic inside the absolute value.,2,3,4,5,,YES,,,,For how many integer values of a between 1 and 12 does the equation |x^2 - 8x + 12| = a have exactly four distinct real roots?,MCQ,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2019_S1_QA_Q17;CAT_2018_S2_QA_Q23;CAT_2017_S1_QA_Q33,,CAT_QA_SPEC_05,Quadratic Equations,Algebra,,absolute value branch and distinct-root trap,VERIFIED,
Mixture concentration problem,4,CAT_QA_SPEC_10_CORRECTED_04,1.0,"Applying alligation directly to $40\%$, $70\%$, and $75\%$. | Treating evaporation as proportional removal of the mixture. | Using $40$ litres as the mixed volume instead of reversing evaporation to $50$ litres.",(B) $1:2$,0.55,NO,"Step 1: After evaporation, the remaining volume is $40$ litres and the acid concentration is $75\%$. Hence acid in the final mixture is \[ 0.75 \times 40=30 \text{ litres}. \] Step 2: Evaporation removes only water, not acid. Therefore acid before evaporation was also $30$ litres. Step 3: Since $10$ litres of water evaporated and final volume is $40$ litres, the pre-evaporation mixed volume was \[ 40+10=50 \text{ litres}. \] So \[ a+b=50. \] Step 4: Acid balance before evaporation: \[ 0.40a+0.70b=30. \] Step 5: Substitute $a=50-b$: \[ 0.40(50-b)+0.70b=30, \] \[ 20-0.40b+0.70b=30, \] \[ 0.30b=10 \Rightarrow b=\frac{100}{3}. \] Then \[ a=50-\frac{100}{3}=\frac{50}{3}. \] Step 6: Therefore \[ a:b=\frac{50}{3}:\frac{100}{3}=1:2. \]",Hard,1.0,4.5,0.725,0.801,0.905,,"Evaporation removes only water, so acid amount is conserved while total volume decreases.",$1:1$,$1:2$,$2:3$,$3:5$,0.75,YES,,OK,0.494,"Solution A is $40\%$ acid by volume and Solution B is $70\%$ acid by volume. A chemist mixes $a$ litres of Solution A with $b$ litres of Solution B. After mixing, exactly $10$ litres of pure water evaporates from the combined mixture. The remaining mixture has volume $40$ litres and is $75\%$ acid. Find the ratio $a:b$.",MCQ,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2018_S1_QA_Q01;CAT_2018_S1_QA_Q14,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_02b_sici_mixtures_elite_recovery_corrected.tex,CAT_QA_SPEC_10,Mixtures and Alligation,Arithmetic,1.0,evaporation changes concentration base,,The final concentration is higher than either direct weighted average would suggest because water evaporates. The key hidden condition is acid conservation during evaporation while the denominator changes. Direct alligation on $75\%$ without reversing evaporation leads to impossible or misleading ratios.
Roots and coefficients problem,2.0,CAT_QA_SPEC_05_CAND_04,0.84,,4,,,"Let f(x) = x^2 - 6x + 5 = (x-1)(x-5). This upward parabola has zeros at x = 1 and x = 5 and vertex at x = 3, where f(3) = 9 - 18 + 5 = -4. The equation |f(x)| = k is equivalent to f(x) = k and f(x) = -k. For k > 0, f(x) = k generally gives two real roots. The equation f(x) = -k gives two real roots if 0 < k < 4, one real double root if k = 4, and no real root if k > 4. Hence exactly three distinct real roots occur when k = 4: two from f(x)=4 and one from f(x)=-4. Therefore k = 4.",Hard,,3.0,,0.786,0.786,codex_manual_generation,Exactly three roots occurs only when the lower branch touches the vertex as a repeated root.,1,3,4,5,,NO,,,,For what value of k does the equation |x^2 - 6x + 5| = k have exactly three distinct real roots?,MCQ,4.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2019_S1_QA_Q17;CAT_2017_S1_QA_Q33;CAT_2018_S2_QA_Q23,,CAT_QA_SPEC_05,Quadratic Equations,Algebra,,absolute value and double-root trap,VERIFIED,
Weighted average problem,3.0,CAT_QA_SPEC_15_ELITE2_03,0.94,,39,,,"Step 1: Let the ordered integers be 10, a, 30, b, 50. Step 2: The total is 5 x 28 = 140. Step 3: Therefore a+b = 50. Step 4: To maximize b, minimize a subject to distinct order 10<a<30. Step 5: The minimum a is 11, so maximum b is 39.",Hard,,3.5,,0.786,0.786,codex_weak_spec_elite_generation,The median and distinctness conditions restrict the extremal average setup.,,,,,,NO,,,,"Five distinct positive integers have average 28. The largest is 50 and the smallest is 10. If the median is 30, what is the maximum possible value of the second largest integer?",TITA,5.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q21;CAT_2017_S2_QA_Q26;CAT_2018_S2_QA_Q02,,CAT_QA_SPEC_15,Averages,Arithmetic,,extremal weighted average trap,VERIFIED,
Work-efficiency problem,2.0,CAT_QA_SPEC_02_CAND_02,0.84,,18 days,,,"A's usual rate is 1/24 per day. At 75% efficiency, A's rate is (3/4)(1/24) = 1/32 per day. In the first 8 days, A completes 8/32 = 1/4 of the project. Remaining work = 3/4. After that, A and B together work at rate 1/24 + 1/30 = 5/120 + 4/120 = 9/120 = 3/40 per day. Time for remaining work = (3/4)/(3/40) = 10 days. Total time = 8 + 10 = 18 days.",Medium,,2.0,,0.782,0.782,codex_manual_generation,"A's first-stage rate is 75% of usual, but after B joins A returns to usual efficiency.",16 days,18 days,19 days,20 days,,NO,,,,"A can complete a project in 24 days and B can complete it in 30 days. For the first 8 days, A works alone at only 75% of his usual efficiency. After that, B joins and A works at his usual efficiency. How many days from the start are required to complete the project?",MCQ,3.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S2_QA_Q08;CAT_2017_S2_QA_Q13;CAT_2018_S1_QA_Q08,,CAT_QA_SPEC_02,Time and Work,Arithmetic,,altered efficiency trap,VERIFIED,
Triangle similarity problem,4,CAT_QA_SPEC_07_CLAUDE_08,0.87,"Treating $[ABC] = [APQ] + [PBR] = 34$ as if those two regions partition the triangle. | Computing $\sqrt{25 \cdot 9} \cdot 2 = 30$ or some other AM--GM guess. | Setting $k/(1-k) = 5/3$ but then computing $[ABC] = (5+3)^2 = 64$ for the wrong reason and being unable to verify --- gets the right number by the wrong route, which fails on a slight numerical change. | Computing $25 + 9 + 2\sqrt{25\cdot 9} = 64$ by treating it as a perfect square --- this matches but only by coincidence in this set of numbers; the underlying reasoning is fragile.",(C) $64$,0.55,NO,"Step 1: Let $k = \dfrac{AP}{AB}$. Since $PQ \parallel BC$, triangle $APQ \sim ABC$ with ratio $k$, so \[[APQ] = k^2 \cdot [ABC] = 25.\] Step 2: Since $PR \parallel AC$, triangle $PBR$ has $\angle B$ common with $ABC$, with $PB/AB = 1-k$ and $BR/BC = 1-k$ (by basic proportionality on the parallel line $PR$ to $AC$). Hence $PBR \sim ABC$ with ratio $1-k$, giving \[[PBR] = (1-k)^2 \cdot [ABC] = 9.\] Step 3: Divide the two equations: $\dfrac{k^2}{(1-k)^2} = \dfrac{25}{9}$, so $\dfrac{k}{1-k} = \pm \dfrac{5}{3}$. Since $k \in (0,1)$, both $k/(1-k) = 5/3$ (giving $k = 5/8$) and $k/(1-k) = -5/3$ (giving $k = -5/2$, infeasible) need to be checked. Only $k = 5/8$ remains. Step 4: The condition $PQ < BC$ translates to $k < 1$, which is automatically true. (If the problem instead gave $[PBR]$ and $[QCS]$ separately and asked for two scenarios, the symmetric ambiguity in $k \leftrightarrow 1-k$ would matter. Here $k = 5/8$ is unique.) Step 5: Substituting back: $[ABC] = \dfrac{25}{k^2} = \dfrac{25}{25/64} = 64$. Step 6: Verification. With $[ABC] = 64,\ k = 5/8$: $[APQ] = (25/64)\cdot 64 = 25$ \(\checkmark\); $[PBR] = (9/64)\cdot 64 = 9$ \(\checkmark\).",Hard,1.0,5,0.686,0.780,0.835,,there are TWO valid positions of PQ (one nearer to A and one nearer to BC) satisfying the given areas; the side condition isolates one,$34$,$49$,$64$,$100$,0.75,YES,,OK,0.648,"In triangle $ABC$, points $P$ and $Q$ lie on sides $AB$ and $AC$ respectively such that $PQ \parallel BC$. The line through $P$ parallel to $AC$ meets $BC$ at $R$, and the line through $Q$ parallel to $AB$ meets $BC$ at $S$. It is given that $[APQ] = 25$, $[PBR] = 9$, and $PQ < BC$. Find the area of triangle $ABC$.",MCQ,5,1.0,0.2,,QA,paper_eligible,1.0,latex,CAT_2017_S1_QA_Q16;CAT_2017_S1_QA_Q29;CAT_2018_S2_QA_Q12,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_01_weak_spec_recovery_cleaned.tex,CAT_QA_SPEC_07,Triangles,Geometry,1.0,linear ratio vs area ratio plus hidden quadratic,,"The student needs to recognise two \emph{independent} similar-triangle relations ($APQ \sim ABC$ via ratio $k$, $PBR \sim ABC$ via ratio $1-k$) sharing the same parent triangle, then solve a quadratic-type ratio. The natural error is to add the two areas and conclude $[ABC] = 25 + 9 + (\text{trapezoid}) = $ something easy."
General algebra problem,3.0,CAT_QA_SPEC_12_ELITE2_04,0.84,,28,,,"Step 1: Let Q's original share be q. Step 2: Then P has q+8 and R has 2q. Step 3: After P gives 5 to R, R has 2q+5. Step 4: The condition says 2q+5=3q, so q=5. Step 5: Total original boxes = (q+8)+q+2q = 13+5+10 = 28.",Hard,,3.5,,0.774,0.774,codex_weak_spec_elite_generation,"The final comparison is to Q's original share, not Q's changed share.",,,,,,NO,,,,"A number of identical boxes are shared among P, Q and R. P gets 8 more than Q, R gets twice as many as Q, and after P gives 5 boxes to R, R has exactly 3 times Q's original share. How many boxes were there originally?",TITA,5.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q28;CAT_2017_S2_QA_Q11;CAT_2018_S1_QA_Q27,,CAT_QA_SPEC_12,Linear Equations,Algebra,,changed-reference simultaneous equation trap,VERIFIED,
Interest-rate/time comparison problem,3.0,CAT_QA_SPEC_09_ELITE2_02,0.79,,10,,,Step 1: The compound amount condition is 10000(1+r/100)(1+(r+5)/100)=12650. Step 2: Divide by 10000 to get (1+r/100)(1.05+r/100)=1.265. Step 3: Let t=r/100; then (1+t)(1.05+t)=1.265. Step 4: Testing t=0.10 gives 1.10 x 1.15 = 1.265. Step 5: Therefore r=10; the SI sentence is a trap because it uses the average-looking rate but is not needed to compute the compound amount.,Hard,,3.5,,0.771,0.771,codex_weak_spec_elite_generation,The two compounding stages have different rates; averaging the two rates as simple interest gives a misleading shortcut.,,,,,,NO,,,,"A sum of Rs 10000 is compounded annually for two years. The first-year rate is r%, and the second-year rate is (r+5)%. The final amount is Rs 12650. If the same principal earned simple interest for two years at (r+2.5)%, find r.",TITA,5.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2018_S1_QA_Q15;CAT_2018_S2_QA_Q28;CAT_2019_S1_QA_Q11,,CAT_QA_SPEC_09,Simple Interest Compound Interest,Arithmetic,,changing compounding-stage rate trap,VERIFIED,
Relative speed problem,3.0,CAT_QA_SPEC_04_CAND_02,0.84,,32.4 km/h,,,"Train A crosses a 120 m platform in 15 seconds, so it covers 180 + 120 = 300 m in 15 seconds. Speed of A = 300/15 = 20 m/s. While overtaking Train B in the same direction, Train A must cover the sum of both train lengths relative to B: 180 + 150 = 330 m. The overtaking time is 30 seconds, so relative speed = 330/30 = 11 m/s. Therefore speed of B = 20 - 11 = 9 m/s = 9 x 18/5 = 32.4 km/h.",Medium,,2.5,,0.765,0.765,codex_manual_generation,Platform crossing determines Train A's speed; overtaking requires sum of train lengths and relative speed.,30.6 km/h,32.4 km/h,36 km/h,39.6 km/h,,NO,,,,"Train A of length 180 m crosses a platform of length 120 m in 15 seconds. It overtakes Train B of length 150 m, moving in the same direction, in 30 seconds. What is the speed of Train B?",MCQ,4.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S2_QA_Q04;CAT_2017_S2_QA_Q12;CAT_2018_S1_QA_Q04,,CAT_QA_SPEC_04,Time Speed Distance,Arithmetic,,same-direction relative speed trap,VERIFIED,
Relative speed problem,2.0,CAT_QA_SPEC_04_ELITE_04,0.84,,6 m/s,,,"Step 1: Let the speeds be a and b m/s, with a > b. Opposite-direction meeting every 60 seconds means their relative speed is a + b = 600/60 = 10 m/s. Step 2: Same-direction lapping every 300 seconds means the relative speed is a - b = 600/300 = 2 m/s. Step 3: Solve the two equations: a + b = 10 and a - b = 2. Step 4: Adding gives 2a = 12, so a = 6 m/s. Step 5: Verification: b = 4 m/s; opposite relative speed = 10 m/s and same-direction relative speed = 2 m/s, matching both conditions.",Hard,,3.0,,0.765,0.765,codex_elite_generation,The two meeting conditions use different relative speeds on the same circular-track distance.,5 m/s,6 m/s,7 m/s,8 m/s,,NO,,,,"Two runners start together on a circular track of length 600 m. Running in opposite directions, they meet every 60 seconds. If they run in the same direction, the faster runner gains one full lap on the slower runner every 300 seconds. What is the speed of the faster runner?",MCQ,4.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q30;CAT_2017_S2_QA_Q12;CAT_2017_S2_QA_Q16,,CAT_QA_SPEC_04,Time Speed Distance,Arithmetic,,opposite versus same-direction relative speed trap,VERIFIED,
Interest-rate/time comparison problem,3.0,CAT_QA_SPEC_09_ELITE2_03,0.96,,0,,,"Step 1: Under normal annual compounding at 10%, amount after two years is P(1.1)^2=12100. Step 2: So P=10000. Step 3: Under the alternate method, after first-year simple interest at 10%, the amount due is also 11000. Step 4: Compounding only the second year at 10% gives 11000 x 1.1 = 12100. Step 5: Therefore he would have paid Rs 0 less; the apparent method change does not change annual compounding for two years.",Hard,,3.5,,0.763,0.763,codex_weak_spec_elite_generation,Simple interest for exactly the first year creates the same first-year amount as annual compounding.,,,,,,NO,,,,"A borrower pays Rs 12100 after two years on a loan compounded annually at 10%. If, instead, he had paid simple interest at the same annual rate for the first year and compound interest only for the second year on the amount then due, how much less would he have paid?",TITA,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2018_S1_QA_Q15;CAT_2018_S2_QA_Q28;CAT_2019_S1_QA_Q11,,CAT_QA_SPEC_09,Simple Interest Compound Interest,Arithmetic,,compounding-stage equivalence trap,VERIFIED,
