exam_slug,section,year,slot,paper_code,question_id,question_text,question_type,option_a,option_b,option_c,option_d,correct_answer,detailed_solution,topic,subtopic,archetype,difficulty,source_reference,frequency_weight,probability_score,trend_score,is_free,is_premium,tags
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q12,"If log12 81 = 𝑝, then 3 4−𝑝 4+𝑝is equal to: Answer Actual CAT 2018 Question Paper",MCQ,log2 8,log6 8,log4 16,log6 16 online.2IIM.com,B,"If log12 81 = 𝑝, then 3 4−𝑝 4+𝑝is equal to: A) log2 8 B) 𝒍𝒐𝒈𝟔𝟖 C) log4 16 D) log6 16 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Logarithm Easy --- PAGE 52 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Algebra,Logarithms,Mixture concentration problem,Easy,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Algebra, subtopic:Logarithms, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q13,"A right circular cone, of height 12 ft, stands on its base which has diameter 8 ft. The tip of the cone is cut off with a plane which is parallel to the base and 9 ft from the base. With π = 22/7, the volume, in cubic ft, of the remaining part of the cone is:[TITA] online.2IIM.com Answer Actual CAT 2018 Question Paper",TITA,,,,,198,"A right circular cone, of height 12 ft, stands on its base which has diameter 8 ft. The tip of the cone is cut off with a plane which is parallel to the base and 9 ft from the base. With π = 22/7, the volume, in cubic ft, of the remaining part of the cone is:[TITA] Answer: 198 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Mensuration Easy --- PAGE 53 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Geometry,Mensuration,Mensuration volume/area problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Geometry, subtopic:Mensuration, archetype:Mensuration volume/area problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q14,"How many numbers with two or more digits can be formed with the digits 1, 2, 3, 4, 5, 6, 7, 8, and 9 so that in every such number, each digit is used at most once and the digits appear in the ascending order?[TITA] online.2IIM.com Answer Actual CAT 2018 Question Paper",TITA,,,,,502,"How many numbers with two or more digits can be formed with the digits 1, 2, 3, 4, 5, 6, 7, 8, and 9 so that in every such number, each digit is used at most once and the digits appear in the ascending order?[TITA] Answer: 502 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Number Theory Hard --- PAGE 54 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Mixtures and Alligation,Mixture concentration problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Mixtures and Alligation, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q15,"John borrowed Rs. 2,10,000 from a bank at an interest rate of 10% per annum, compounded annually. The loan was repaid in two equal instalments, the first after one year and the second after another year. The ﬁrst instalment was interest of one year plus part of the principal amount, while the second was the rest of the principal amount plus due interest thereon. Then each instalment, in Rs., is: [TITA] online.2IIM.com Answer Actual CAT 2018 Question Paper",TITA,,,,,121000,"John borrowed Rs. 2,10,000 from a bank at an interest rate of 10% per annum, compounded annually. The loan was repaid in two equal instalments, the first after one year and the second after another year. The ﬁrst instalment was interest of one year plus part of the principal amount, while the second was the rest of the principal amount plus due interest thereon. Then each instalment, in Rs., is: [TITA] Answer: 1,21,000 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – SI & CI Medium --- PAGE 55 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Simple Interest Compound Interest,Mixture concentration problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Simple Interest Compound Interest, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q16,"If 𝑢2 + (𝑢−2𝑣−1)2= −4v(u + v), then what is the value of u + 3v? Answer Actual CAT 2018 Question Paper",MCQ,1 4,1 2,0,- 1 4 online.2IIM.com,D,"If 𝑢2 + (𝑢−2𝑣−1)2= −4v(u + v), then what is the value of u + 3v? A) 1 4 B) 1 2 C) 0 D) - 𝟏 𝟒 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Linear and Quadratic Equations Medium --- PAGE 56 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Mixtures and Alligation,Mixture concentration problem,Easy,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Mixtures and Alligation, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q17,"Point P lies between points A and B such that the length of BP is thrice that of AP. Car 1 starts from A and moves towards B. Simultaneously, car 2 starts from B and moves towards A. Car 2 reaches P one hour after car 1 reaches P. If the speed of car 2 is half that of car 1, then the time, in minutes, taken by car 1 in reaching P from A is:[TITA] online.2IIM.com Answer Actual CAT 2018 Question Paper",TITA,,,,,12,"Point P lies between points A and B such that the length of BP is thrice that of AP. Car 1 starts from A and moves towards B. Simultaneously, car 2 starts from B and moves towards A. Car 2 reaches P one hour after car 1 reaches P. If the speed of car 2 is half that of car 1, then the time, in minutes, taken by car 1 in reaching P from A is:[TITA] Answer: 12 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Speed, Time and Distance Easy --- PAGE 57 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Time Speed Distance,Mixture concentration problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Time Speed Distance, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q18,"Let ABCD be a rectangle inscribed in a circle of radius 13 cm. Which one of the following pairs can represent, in cm, the possible length and breadth of ABCD? Answer Actual CAT 2018 Question Paper",MCQ,"25, 10","24, 12","25, 9","24, 10 online.2IIM.com",D,"Let ABCD be a rectangle inscribed in a circle of radius 13 cm. Which one of the following pairs can represent, in cm, the possible length and breadth of ABCD? A) 25, 10 B) 24, 12 C) 25, 9 D) 24, 10 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Geometry Easy --- PAGE 58 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Geometry,Circles,Mixture concentration problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Geometry, subtopic:Circles, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q19,"In an examination, the maximum possible score is N while the pass mark is 45% of N. A candidate obtains 36 marks, but falls short of the pass mark by 68%. Which one of the following is then correct? Answer Actual CAT 2018 Question Paper",MCQ,N ≤ 200,243 ≤ N ≤ 252,N ≥ 253,201 ≤ N ≤ 242 online.2IIM.com,B,"In an examination, the maximum possible score is N while the pass mark is 45% of N. A candidate obtains 36 marks, but falls short of the pass mark by 68%. Which one of the following is then correct? A) N ≤ 200 B) 243 ≤ N ≤ 252 C) N ≥ 253 D) 201 ≤ N ≤ 242 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Percentages Hard --- PAGE 59 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Percentages,Successive percentage change,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Percentages, archetype:Successive percentage change"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q20,"Let x, y, z be three positive real numbers in a geometric progression such that x < y < z. If 5x, 16y, and 12z are in an arithmetic progression then the common ratio of the geometric progression is Answer Actual CAT 2018 Question Paper",MCQ,1 6,3 6,3 2,5 2 online.2IIM.com,D,"Let x, y, z be three positive real numbers in a geometric progression such that x < y < z. If 5x, 16y, and 12z are in an arithmetic progression then the common ratio of the geometric progression is A) 1 6 B) 3 6 C) 3 2 D) 𝟓 𝟐 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Sequence & Series Easy --- PAGE 60 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Algebra,Progressions,AP/GP sequence problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Algebra, subtopic:Progressions, archetype:AP/GP sequence problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q21,"The number of integers x such that 0.25 < 2x < 200, and 2x + 2 is perfectly divisible by either 3 or 4, is [TITA] online.2IIM.com Answer Actual CAT 2018 Question Paper",TITA,,,,,5,"The number of integers x such that 0.25 < 2x < 200, and 2x + 2 is perfectly divisible by either 3 or 4, is [TITA] Answer: 5 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Number Theory Hard --- PAGE 61 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Mixtures and Alligation,Mixture concentration problem,Easy,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Mixtures and Alligation, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q22,"Each of 74 students in a class studies at least one of the three subjects H, E and P. Ten students study all three subjects, while twenty study H and E, but not P. Every student who studies P also studies H or E or both. If the number of students studying H equals that studying E, then the number of students studying H is [TITA] online.2IIM.com Answer Actual CAT 2018 Question Paper",TITA,,,,,52,"Each of 74 students in a class studies at least one of the three subjects H, E and P. Ten students study all three subjects, while twenty study H and E, but not P. Every student who studies P also studies H or E or both. If the number of students studying H equals that studying E, then the number of students studying H is [TITA] Answer: 52 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Set Theory Easy --- PAGE 62 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Mixtures and Alligation,Mixture concentration problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Mixtures and Alligation, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q23,"Train T leaves station X for station Y at 3 pm. Train S, traveling at three quarters of the speed of T, leaves Y for X at 4 pm. The two trains pass each other at a station Z, where the distance between X and Z is three-ﬁfths of that between X and Y. How many hours does train T take for its journey from X to Y? [TITA] online.2IIM.com Answer Actual CAT 2018 Question Paper",TITA,,,,,36,"Train T leaves station X for station Y at 3 pm. Train S, traveling at three quarters of the speed of T, leaves Y for X at 4 pm. The two trains pass each other at a station Z, where the distance between X and Z is three-ﬁfths of that between X and Y. How many hours does train T take for its journey from X to Y? [TITA] Answer: 15 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Speed, Time and Distance Easy --- PAGE 63 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Time Speed Distance,Relative speed problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Time Speed Distance, archetype:Relative speed problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q24,"Points E, F, G, H lie on the sides AB, BC, CD, and DA, respectively, of a square ABCD. If EFGH is also a square whose area is 62.5% of that of ABCD and CG is longer than EB, then the ratio of length of EB to that of CG is: Answer Actual CAT 2018 Question Paper",MCQ,1 : 3,4 : 9,2 : 5,3 : 8 online.2IIM.com,A,"Points E, F, G, H lie on the sides AB, BC, CD, and DA, respectively, of a square ABCD. If EFGH is also a square whose area is 62.5% of that of ABCD and CG is longer than EB, then the ratio of length of EB to that of CG is: A) 1 : 3 B) 4 : 9 C) 2 : 5 D) 3 : 8 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Geometry Medium --- PAGE 64 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Profit and Loss,Ratio sharing problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Profit and Loss, archetype:Ratio sharing problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q25,"Given that x2018 y2017 = 1/2 and x2016 y2019 = 8, the value of x2 + y3 is Answer Actual CAT 2018 Question Paper",MCQ,37 4,31 4,35 4,33 4 online.2IIM.com,D,"Given that x2018 y2017 = 1/2 and x2016 y2019 = 8, the value of x2 + y3 is A)37 4 B)31 4 C) 35 4 D)𝟑𝟑 𝟒 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Exponents Medium --- PAGE 65 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Algebra,Quadratic Equations,Mixture concentration problem,Easy,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Algebra, subtopic:Quadratic Equations, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q26,"Raju and Lalitha originally had marbles in the ratio 4 : 9. Then Lalitha gave some of her marbles to Raju. As a result, the ratio of the number of marbles with Raju to that with Lalitha became 5 : 6. What fraction of her original number of marbles was given by Lalitha to Raju? Answer Actual CAT 2018 Question Paper",MCQ,1 4,1 5,6 19,7 33 online.2IIM.com,D,"Raju and Lalitha originally had marbles in the ratio 4 : 9. Then Lalitha gave some of her marbles to Raju. As a result, the ratio of the number of marbles with Raju to that with Lalitha became 5 : 6. What fraction of her original number of marbles was given by Lalitha to Raju? A) 1 4 B) 1 5 C) 6 19 D) 𝟕 𝟑𝟑 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Ratio & Proportion Easy --- PAGE 66 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Ratio and Proportion,Ratio sharing problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Ratio and Proportion, archetype:Ratio sharing problem"
